32,17.1660
101,8.5771
116,6.3700
111,5.7701
97,5.1880
110,4.9701
105,4.9019
115,4.3686
114,4.2586
108,3.1750
104,2.7444
100,2.5071
99,2.1129
117,2.0999
109,1.6437
103,1.5597
112,1.5482
46,1.5124
45,1.3734
102,1.3725
119,1.3034
121,1.1330
98,1.0195
118,0.8462
44,0.7384
107,0.6753
149,0.6410
48,0.5516
49,0.4594
58,0.4354
83,0.4003
67,0.3906
77,0.3529
50,0.3322
84,0.3322
73,0.3211
68,0.3151
65,0.3132
69,0.2673
80,0.2614
87,0.2527
82,0.2519
39,0.2447
34,0.2442
72,0.2321
41,0.2233
40,0.2178
66,0.2163
78,0.2085
120,0.1950
76,0.1884
71,0.1876
51,0.1847
79,0.1842
74,0.1726
53,0.1663
47,0.1549
63,0.1474
70,0.1416
52,0.1348
62,0.1242
60,0.1225
59,0.1214
95,0.1159
54,0.1153
56,0.1054
55,0.1030
57,0.1024
86,0.0892
106,0.0867
85,0.0814
113,0.0747
75,0.0687
42,0.0628
122,0.0596
36,0.0561
88,0.0343
81,0.0316
89,0.0304
10,0.0228
13,0.0228
61,0.0227
38,0.0226
43,0.0215
35,0.0179
37,0.0160
93,0.0088
91,0.0086
90,0.0076
64,0.0073
33,0.0072
9,0.0057
123,0.0026
125,0.0026
92,0.0016
183,0.0010
96,0.0009
124,0.0007
94,0.0003
126,0.0003
